"EmployeeID","GivenName","Surname","DisplayName","SamAccountName","UserPrincipalName","Department","JobTitle","WorkerType","ManagerEmployeeID","StartDate","EndDate","TargetOU","BaselineGroups","DepartmentGroup","AccessGroups","LifecycleStatus"
"IAM1001","Amelia","Hart","Amelia Hart","amelia.hart","amelia.hart@danielcloudlaboutlook258.onmicrosoft.com","Finance","Finance Manager","Employee","","2026-09-01","","OU=Finance,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_Finance","GG_IAM_Access_M365_Baseline;GG_IAM_Access_Finance_ERP","Active"
"IAM1002","Noah","Bennett","Noah Bennett","noah.bennett1002","noah.bennett1002@danielcloudlaboutlook258.onmicrosoft.com","Finance","Senior Financial Analyst","Employee","IAM1001","2026-09-01","","OU=Finance,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_Finance","GG_IAM_Access_M365_Baseline;GG_IAM_Access_Finance_ERP","Active"
"IAM1003","Sofia","Clarke","Sofia Clarke","sofia.clarke","sofia.clarke@danielcloudlaboutlook258.onmicrosoft.com","Finance","Finance Analyst","Employee","IAM1001","2026-09-01","","OU=Finance,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_Finance","GG_IAM_Access_M365_Baseline;GG_IAM_Access_Finance_ERP","Active"
"IAM1004","Ethan","Brooks","Ethan Brooks","ethan.brooks","ethan.brooks@danielcloudlaboutlook258.onmicrosoft.com","Finance","Accounts Payable Specialist","Employee","IAM1001","2026-09-01","","OU=Finance,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_Finance","GG_IAM_Access_M365_Baseline;GG_IAM_Access_Finance_ERP","Active"
"IAM1005","Maya","Foster","Maya Foster","maya.foster","maya.foster@danielcloudlaboutlook258.onmicrosoft.com","Finance","Payroll Analyst","Employee","IAM1001","2026-09-01","","OU=Finance,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_Finance","GG_IAM_Access_M365_Baseline;GG_IAM_Access_Finance_ERP","Active"
"IAM1101","Olivia","Reed","Olivia Reed","olivia.reed","olivia.reed@danielcloudlaboutlook258.onmicrosoft.com","Human Resources","Human Resources Manager","Employee","","2026-09-01","","OU=Human Resources,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_HumanResources","GG_IAM_Access_M365_Baseline;GG_IAM_Access_HR_Records","Active"
"IAM1102","Lucas","Morgan","Lucas Morgan","lucas.morgan","lucas.morgan@danielcloudlaboutlook258.onmicrosoft.com","Human Resources","Human Resources Business Partner","Employee","IAM1101","2026-09-01","","OU=Human Resources,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_HumanResources","GG_IAM_Access_M365_Baseline;GG_IAM_Access_HR_Records","Active"
"IAM1103","Isla","Turner","Isla Turner","isla.turner","isla.turner@danielcloudlaboutlook258.onmicrosoft.com","Human Resources","Talent Acquisition Specialist","Employee","IAM1101","2026-09-01","","OU=Human Resources,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_HumanResources","GG_IAM_Access_M365_Baseline;GG_IAM_Access_HR_Records","Active"
"IAM1104","Leo","Grant","Leo Grant","leo.grant","leo.grant@danielcloudlaboutlook258.onmicrosoft.com","Human Resources","Learning and Development Specialist","Employee","IAM1101","2026-09-01","","OU=Human Resources,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_HumanResources","GG_IAM_Access_M365_Baseline;GG_IAM_Access_HR_Records","Active"
"IAM1105","Chloe","Evans","Chloe Evans","chloe.evans","chloe.evans@danielcloudlaboutlook258.onmicrosoft.com","Human Resources","Human Resources Administrator","Employee","IAM1101","2026-09-01","","OU=Human Resources,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_HumanResources","GG_IAM_Access_M365_Baseline;GG_IAM_Access_HR_Records","Active"
"IAM1201","Ava","Mitchell","Ava Mitchell","ava.mitchell1201","ava.mitchell1201@danielcloudlaboutlook258.onmicrosoft.com","Information Technology","Information Technology Manager","Employee","","2026-09-01","","OU=Information Technology,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_InformationTechnology","GG_IAM_Access_M365_Baseline;GG_IAM_Access_IT_ServiceDesk","Active"
"IAM1202","Oscar","Hayes","Oscar Hayes","oscar.hayes","oscar.hayes@danielcloudlaboutlook258.onmicrosoft.com","Information Technology","Systems Administrator","Employee","IAM1201","2026-09-01","","OU=Information Technology,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_InformationTechnology","GG_IAM_Access_M365_Baseline;GG_IAM_Access_IT_ServiceDesk","Active"
"IAM1203","Mia","Collins","Mia Collins","mia.collins","mia.collins@danielcloudlaboutlook258.onmicrosoft.com","Information Technology","Security Analyst","Employee","IAM1201","2026-09-01","","OU=Information Technology,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_InformationTechnology","GG_IAM_Access_M365_Baseline;GG_IAM_Access_IT_ServiceDesk","Active"
"IAM1204","Jack","Ward","Jack Ward","jack.ward","jack.ward@danielcloudlaboutlook258.onmicrosoft.com","Information Technology","Service Desk Analyst","Employee","IAM1201","2026-09-01","","OU=Information Technology,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_InformationTechnology","GG_IAM_Access_M365_Baseline;GG_IAM_Access_IT_ServiceDesk","Active"
"IAM1205","Freya","Cooper","Freya Cooper","freya.cooper","freya.cooper@danielcloudlaboutlook258.onmicrosoft.com","Information Technology","Cloud Support Engineer","Employee","IAM1201","2026-09-01","","OU=Information Technology,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_InformationTechnology","GG_IAM_Access_M365_Baseline;GG_IAM_Access_IT_ServiceDesk","Active"
"IAM1301","Grace","Parker","Grace Parker","grace.parker","grace.parker@danielcloudlaboutlook258.onmicrosoft.com","Sales","Sales Manager","Employee","","2026-09-01","","OU=Sales,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_Sales","GG_IAM_Access_M365_Baseline;GG_IAM_Access_Sales_CRM","Active"
"IAM1302","Henry","Scott","Henry Scott","henry.scott","henry.scott@danielcloudlaboutlook258.onmicrosoft.com","Sales","Account Executive","Employee","IAM1301","2026-09-01","","OU=Sales,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_Sales","GG_IAM_Access_M365_Baseline;GG_IAM_Access_Sales_CRM","Active"
"IAM1303","Ella","Hughes","Ella Hughes","ella.hughes1303","ella.hughes1303@danielcloudlaboutlook258.onmicrosoft.com","Sales","Sales Operations Analyst","Employee","IAM1301","2026-09-01","","OU=Sales,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_Sales","GG_IAM_Access_M365_Baseline;GG_IAM_Access_Sales_CRM","Active"
"IAM1304","Arthur","Bell","Arthur Bell","arthur.bell","arthur.bell@danielcloudlaboutlook258.onmicrosoft.com","Sales","Business Development Representative","Employee","IAM1301","2026-09-01","","OU=Sales,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_Sales","GG_IAM_Access_M365_Baseline;GG_IAM_Access_Sales_CRM","Active"
"IAM1305","Lily","Cox","Lily Cox","lily.cox","lily.cox@danielcloudlaboutlook258.onmicrosoft.com","Sales","Customer Success Specialist","Employee","IAM1301","2026-09-01","","OU=Sales,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_Sales","GG_IAM_Access_M365_Baseline;GG_IAM_Access_Sales_CRM","Active"
"IAM1401","Emily","Richardson","Emily Richardson","emily.richardson","emily.richardson@danielcloudlaboutlook258.onmicrosoft.com","Operations","Operations Manager","Employee","","2026-09-01","","OU=Operations,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_Operations","GG_IAM_Access_M365_Baseline;GG_IAM_Access_Operations_Portal","Active"
"IAM1402","George","Bailey","George Bailey","george.bailey","george.bailey@danielcloudlaboutlook258.onmicrosoft.com","Operations","Operations Analyst","Employee","IAM1401","2026-09-01","","OU=Operations,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_Operations","GG_IAM_Access_M365_Baseline;GG_IAM_Access_Operations_Portal","Active"
"IAM1403","Sophie","Murphy","Sophie Murphy","sophie.murphy","sophie.murphy@danielcloudlaboutlook258.onmicrosoft.com","Operations","Supply Chain Coordinator","Employee","IAM1401","2026-09-01","","OU=Operations,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_Operations","GG_IAM_Access_M365_Baseline;GG_IAM_Access_Operations_Portal","Active"
"IAM1404","Thomas","Russell","Thomas Russell","thomas.russell","thomas.russell@danielcloudlaboutlook258.onmicrosoft.com","Operations","Service Delivery Coordinator","Employee","IAM1401","2026-09-01","","OU=Operations,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_Operations","GG_IAM_Access_M365_Baseline;GG_IAM_Access_Operations_Portal","Active"
"IAM1405","Ruby","Jenkins","Ruby Jenkins","ruby.jenkins","ruby.jenkins@danielcloudlaboutlook258.onmicrosoft.com","Operations","Business Continuity Analyst","Employee","IAM1401","2026-09-01","","OU=Operations,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Employees","GG_IAM_Department_Operations","GG_IAM_Access_M365_Baseline;GG_IAM_Access_Operations_Portal","Active"
"IAM1501","Daniel","Mercer","Daniel Mercer","daniel.mercer","daniel.mercer@danielcloudlaboutlook258.onmicrosoft.com","Contractors","External Project Lead","Contractor","","2026-09-01","2027-02-28","OU=Contractors,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Contractors","","GG_IAM_Access_Contractor_Portal","Active"
"IAM1502","Hannah","Webb","Hannah Webb","hannah.webb","hannah.webb@danielcloudlaboutlook258.onmicrosoft.com","Contractors","Contract Business Analyst","Contractor","IAM1501","2026-09-01","2027-02-28","OU=Contractors,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Contractors","","GG_IAM_Access_Contractor_Portal","Active"
"IAM1503","Isaac","Powell","Isaac Powell","isaac.powell","isaac.powell@danielcloudlaboutlook258.onmicrosoft.com","Contractors","Contract Developer","Contractor","IAM1501","2026-09-01","2027-02-28","OU=Contractors,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Contractors","","GG_IAM_Access_Contractor_Portal","Active"
"IAM1504","Zoe","Chapman","Zoe Chapman","zoe.chapman","zoe.chapman@danielcloudlaboutlook258.onmicrosoft.com","Contractors","Contract Support Analyst","Contractor","IAM1501","2026-09-01","2027-02-28","OU=Contractors,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Contractors","","GG_IAM_Access_Contractor_Portal","Active"
"IAM1505","Adam","Fisher","Adam Fisher","adam.fisher","adam.fisher@danielcloudlaboutlook258.onmicrosoft.com","Contractors","Contract Project Coordinator","Contractor","IAM1501","2026-09-01","2027-02-28","OU=Contractors,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","GG_IAM_All_Workforce;GG_IAM_All_Contractors","","GG_IAM_Access_Contractor_Portal","Active"
