"TimestampUtc","CorrelationID","RequestID","EmployeeID","SamAccountName","Stage","Action","Target","Result","Details"
"2026-09-04T22:57:42.3771118Z","M06-LEAVER-20260904-235742","ALL","ALL","ALL","Preflight","ValidateApprovedRequests","Approved leaver dataset and Active Directory state","Passed","Three approved leaver requests passed hash, identity, access and containment validation."
"2026-09-04T22:57:42.4083937Z","M06-LEAVER-20260904-235742","LVR-2026-0904-001","IAM2001","theo.lawson","RecoveryPreparation","CaptureRecoveryState","Local recovery manifest","Success","Pre-change OU, enabled state, description, manager, memberships and expiration were captured."
"2026-09-04T22:57:42.4083937Z","M06-LEAVER-20260904-235742","LVR-2026-0904-002","IAM2002","isla.grant","RecoveryPreparation","CaptureRecoveryState","Local recovery manifest","Success","Pre-change OU, enabled state, description, manager, memberships and expiration were captured."
"2026-09-04T22:57:42.4083937Z","M06-LEAVER-20260904-235742","LVR-2026-0904-003","IAM2003","mason.cole","RecoveryPreparation","CaptureRecoveryState","Local recovery manifest","Success","Pre-change OU, enabled state, description, manager, memberships and expiration were captured."
"2026-09-04T22:57:42.5025463Z","M06-LEAVER-20260904-235742","LVR-2026-0904-001","IAM2001","theo.lawson","Containment","DisableAccount","theo.lawson","Success","The approved leaver account was disabled before access removal."
"2026-09-04T22:57:42.5500253Z","M06-LEAVER-20260904-235742","LVR-2026-0904-001","IAM2001","theo.lawson","AccessRemoval","RemoveMembership","GG_IAM_Access_M365_Baseline","Success","A direct controlled IAM membership was removed from the disabled leaver account."
"2026-09-04T22:57:42.5658597Z","M06-LEAVER-20260904-235742","LVR-2026-0904-001","IAM2001","theo.lawson","AccessRemoval","RemoveMembership","GG_IAM_Access_Operations_Portal","Success","A direct controlled IAM membership was removed from the disabled leaver account."
"2026-09-04T22:57:42.5814172Z","M06-LEAVER-20260904-235742","LVR-2026-0904-001","IAM2001","theo.lawson","AccessRemoval","RemoveMembership","GG_IAM_All_Employees","Success","A direct controlled IAM membership was removed from the disabled leaver account."
"2026-09-04T22:57:42.5971470Z","M06-LEAVER-20260904-235742","LVR-2026-0904-001","IAM2001","theo.lawson","AccessRemoval","RemoveMembership","GG_IAM_All_Workforce","Success","A direct controlled IAM membership was removed from the disabled leaver account."
"2026-09-04T22:57:42.6127171Z","M06-LEAVER-20260904-235742","LVR-2026-0904-001","IAM2001","theo.lawson","AccessRemoval","RemoveMembership","GG_IAM_Department_Operations","Success","A direct controlled IAM membership was removed from the disabled leaver account."
"2026-09-04T22:57:42.6439251Z","M06-LEAVER-20260904-235742","LVR-2026-0904-001","IAM2001","theo.lawson","DirectoryPlacement","MoveToLeaversOU","OU=Leavers,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","Success","The disabled and access-free account was moved into the protected Leavers OU."
"2026-09-04T22:57:42.6594544Z","M06-LEAVER-20260904-235742","LVR-2026-0904-001","IAM2001","theo.lawson","LifecycleRecord","UpdateLifecycleDescription","theo.lawson","Success","The description was updated to the approved disabled leaver state."
"2026-09-04T22:57:42.6905542Z","M06-LEAVER-20260904-235742","WORKFLOW","WORKFLOW","WORKFLOW","Failure","WorkflowFailure","Milestone 6 leaver containment","Failed","The property 'Count' cannot be found on this object. Verify that the property exists."
